Primary Class,Secondary Class,Top1_score,Top2_score,margin_12,Reasoning
37,49,0.05142083019018173,0.051419708877801895,1.1213123798370361e-06,"Abstract-only zero-shot classification. Top-3 labels by score: 37 Experimentation - Other than evaluation indicated in class 14 above (0.051), 49 Application - Digital Micro Fluids, Damping, Physics, Environmental, Engineering, Instruments to evaluate FF (0.051), 44 Application - Geology, Oil-field recovery (0.047)"
24,40,0.03531358018517494,0.03529641032218933,1.7169862985610962e-05,"Abstract-only zero-shot classification. Top-3 labels by score: 24 Modelling - ODE, Boundary value, Two-phase, Lifting force, Magneto-optical, Dipole, Strain Energy, Susceptibility etc. (0.035), 40 Application - Medical (Hyperthermia, Cancer, Drug Delivery) (0.035), 47 Application - Bearing, Seal, Lubricant (0.035)"
25,26,0.04175613075494766,0.04171781614422798,3.8314610719680786e-05,"Abstract-only zero-shot classification. Top-3 labels by score: 25 Computation - Flow (0.042), 26 Computation - Heat (0.042), 24 Modelling - ODE, Boundary value, Two-phase, Lifting force, Magneto-optical, Dipole, Strain Energy, Susceptibility etc. (0.041)"
49,40,0.037275541573762894,0.03722880408167839,4.6737492084503174e-05,"Abstract-only zero-shot classification. Top-3 labels by score: 49 Application - Digital Micro Fluids, Damping, Physics, Environmental, Engineering, Instruments to evaluate FF (0.037), 40 Application - Medical (Hyperthermia, Cancer, Drug Delivery) (0.037), 24 Modelling - ODE, Boundary value, Two-phase, Lifting force, Magneto-optical, Dipole, Strain Energy, Susceptibility etc. (0.036)"
49,40,0.037275541573762894,0.03722880408167839,4.6737492084503174e-05,"Abstract-only zero-shot classification. Top-3 labels by score: 49 Application - Digital Micro Fluids, Damping, Physics, Environmental, Engineering, Instruments to evaluate FF (0.037), 40 Application - Medical (Hyperthermia, Cancer, Drug Delivery) (0.037), 24 Modelling - ODE, Boundary value, Two-phase, Lifting force, Magneto-optical, Dipole, Strain Energy, Susceptibility etc. (0.036)"
40,51,0.03380047157406807,0.033752039074897766,4.8432499170303345e-05,"Abstract-only zero-shot classification. Top-3 labels by score: 40 Application - Medical (Hyperthermia, Cancer, Drug Delivery) (0.034), 51 Book / Book - chapter (0.034), 47 Application - Bearing, Seal, Lubricant (0.034)"
40,51,0.03381676971912384,0.033757563680410385,5.92060387134552e-05,"Abstract-only zero-shot classification. Top-3 labels by score: 40 Application - Medical (Hyperthermia, Cancer, Drug Delivery) (0.034), 51 Book / Book - chapter (0.034), 47 Application - Bearing, Seal, Lubricant (0.034)"
40,51,0.03381676971912384,0.033757563680410385,5.92060387134552e-05,"Abstract-only zero-shot classification. Top-3 labels by score: 40 Application - Medical (Hyperthermia, Cancer, Drug Delivery) (0.034), 51 Book / Book - chapter (0.034), 47 Application - Bearing, Seal, Lubricant (0.034)"
40,51,0.03381676971912384,0.033757563680410385,5.92060387134552e-05,"Abstract-only zero-shot classification. Top-3 labels by score: 40 Application - Medical (Hyperthermia, Cancer, Drug Delivery) (0.034), 51 Book / Book - chapter (0.034), 47 Application - Bearing, Seal, Lubricant (0.034)"
47,49,0.034596242010593414,0.03453092649579048,6.531551480293274e-05,"Abstract-only zero-shot classification. Top-3 labels by score: 47 Application - Bearing, Seal, Lubricant (0.035), 49 Application - Digital Micro Fluids, Damping, Physics, Environmental, Engineering, Instruments to evaluate FF (0.035), 24 Modelling - ODE, Boundary value, Two-phase, Lifting force, Magneto-optical, Dipole, Strain Energy, Susceptibility etc. (0.034)"
